Player,Rank,ADP,Finish2024,Team,Pos,PosRank,Notes,Id
T.J. Hockenson,104,87.8,153,MIN,TE,8,,4ddaf397-6424-4910-b9ec-49aef1d2b69a
Travis Etienne Jr.,105,94.9,182,JAX,RB,34,,fb9df616-a7a2-4339-ab1a-b3e5dfd2278b
J.K. Dobbins,106,108.1,42,DEN,RB,35,,fb971e03-d484-4d81-982d-0e0af12179e6
Dak Prescott,107,109.2,162,DAL,QB,11,,1a3c579b-489d-476c-8e92-96396daccfa2
Caleb Williams,108,109.9,124,CHI,QB,12,,a6e88774-89df-4886-b850-16c63473fcbe
Tre Harris,109,104.6,,LAC,WR,54,Rookie,06bb179e-5f55-4679-9f0d-e94d1c5dff0c
Justin Fields,110,103.5,148,NYJ,QB,13,,69a1328c-ef69-41a4-a9c6-9ef0f96179f0
Tucker Kraft,111,120.6,118,GB,TE,9,,48dddfc4-9fbb-49f7-93ca-49b5bad5b640
Colston Loveland,112,126.9,,CHI,TE,10,Rookie,72f1fd78-4146-4527-8de9-823b13309425
Dalton Kincaid,113,136.2,258,BUF,TE,11,,8e3162f9-5b76-46e8-b189-777db6212f8b
Zach Charbonnet,114,115.2,77,SEA,RB,36,,39526890-3152-4899-a948-99f0a9858b6f
Tyjae Spears,115,122.8,101,TEN,RB,37,,76809c5a-f06d-479a-a218-f22ee3e13a83
Justin Herbert,116,125,141,LAC,QB,14,,37bd88b0-b695-4a09-a0e9-fc29f6c14dfd
Drake Maye,117,113.8,262,NE,QB,15,,1fd437b3-ec8a-40ff-af9b-bdeb9e195111
Jared Goff,118,118.2,68,DET,QB,16,,a889c484-29f2-47ac-805b-49691067644b
Jordan Love,119,126.4,173,GB,QB,17,,86d70c50-1438-435a-be56-17fc097d2763
Keon Coleman,120,102.2,169,BUF,WR,55,,d94128a2-2821-4fe3-95ee-ad6a026b85cb
Rashod Bateman,121,113,91,BAL,WR,56,,a539369c-22ad-4d91-b5b9-a616d39018b8
Javonte Williams,122,130.3,130,DAL,RB,38,,af512904-a1c9-4f40-ac9b-3f04329bc6b8
Tyrone Tracy,123,104.1,81,NYG,RB,39,,c8fd58f1-4635-46b0-9727-6cdd493a63a0
Christian Kirk,124,124.3,151,HOU,WR,57,,e35cb821-a7ae-41d8-a7c1-3fb43082b786
Hollywood Brown,125,131.1,,KC,WR,58,,27c2ab08-d88c-427a-b0d3-cf0ba47af2f7
Luther Burden,126,116.8,,CHI,WR,59,Rookie,9df8f9e8-d362-46e0-be35-502442b747e6
David Njoku,127,120.8,75,CLE,TE,12,,96103fd4-acc7-4dba-adcf-ae140cf7d983
Dallas Goedert,128,138.7,123,PHI,TE,13,,315ad6ba-764f-4118-9deb-03720308a0c2
Jake Ferguson,129,143.2,228,DAL,TE,14,,5336c84a-59d1-4502-b26c-a9a7a5683195
Tyler Warren,130,116.9,,IND,TE,15,Rookie,59cd0550-2714-465f-a640-99957e7fc514
Ray Davis,131,136.2,146,BUF,RB,40,,216c2a61-381c-4520-a163-a8af32943fb9
Isaac Guerendo,132,144.8,106,SF,RB,41,,5517771d-f8e5-4ab2-b023-c06057b9d12a
Rachaad White,133,143.1,58,TB,RB,42,,9012f171-568e-4292-94ba-f4b308eac941
Dylan Sampson,134,145.1,,CLE,RB,43,Rookie,032a165a-b343-4c8f-a56f-8fc47d2a4a07
Quinshon Judkins,135,102.8,,CLE,RB,44,Rookie,513473ee-8e3f-48d1-a0fc-a4f77bc195b9
C.J. Stroud,136,133.1,269,HOU,QB,18,,d97eb184-b572-477a-98c8-e918a0bf1c66
Trevor Lawrence,137,131.1,206,JAX,QB,19,,01b46905-02f2-4016-a320-7cc36b5d1afc
J.J. McCarthy,138,121.2,,MIN,QB,20,,78a6939e-5faf-45ed-98f2-674a84e65045
Tyler Allgeier,139,152.9,212,ATL,RB,45,,00403734-5e69-424c-974e-ceefbc335618
Jerome Ford,140,168.4,112,CLE,RB,46,,47a14de7-342a-4a2d-b5ea-2e4cca880e67
Roschon Johnson,141,169.6,219,CHI,RB,47,,3e43e336-3c1d-430f-8961-701e685e8d5d
Najee Harris,142,130.4,90,LAC,RB,48,,3a9a963f-6618-40ac-93c6-96ea04cb223f
Romeo Doubs,143,152.3,137,GB,WR,60,,c27b2fd7-45a7-409c-9973-3346fd3062fc
Kyle Williams,144,133.2,,NE,WR,61,Rookie,d1bb13ec-b37e-420c-b9f5-e76698cb6b2b
Kyle Pitts,145,150.2,152,ATL,TE,16,Trade Candidate,baf94a12-0921-4655-9b10-12b59b77c57c
Bryce Young,146,154.7,117,CAR,QB,21,,04c979d6-83b7-40dc-83fc-ed4db79ce5f9
Tua Tagovailoa,147,150,111,MIA,QB,22,,bfd060c8-dfa0-43d4-beb2-6f3e5b9df69e
Tank Bigsby,148,160.1,95,JAX,RB,49,,91edd6d6-bd65-4571-8713-41fc3cd2eb92
Austin Ekeler,149,156.4,115,WAS,RB,50,,566b0f64-6a4f-4882-aa36-99d15ce990f5
