Rank,Player,Pos,Team,ADP,Pos Rank,Bye,Finish2024,Notes
104,Travis Etienne Jr.,RB,JAC,94.7,35,8,182.0,
105,Darnell Mooney,WR,ATL,144.0,48,5,71.0,
106,Brandon Aiyuk,WR,SF,124.0,49,14,157.0,Torn ACL + MCL
107,Emeka Egbuka,WR,TB,122.7,50,9,,Rookie
108,Keon Coleman,WR,BUF,141.0,51,7,169.0,
109,Caleb Williams,QB,CHI,111.0,14,5,124.0,
110,Zach Charbonnet,RB,SEA,108.0,36,8,77.0,
111,Cam Skattebo,RB,NYG,102.3,37,14,,Rookie
112,Rashid Shaheed,WR,NO,161.3,52,11,40.0,
113,Rhamondre Stevenson,RB,NE,113.7,38,14,61.0,
114,Najee Harris,RB,LAC,106.7,39,12,90.0,
115,Jared Goff,QB,DET,97.7,15,8,68.0,
116,Cooper Kupp,WR,SEA,95.0,53,8,46.0,
117,Tucker Kraft,TE,GB,108.0,10,5,118.0,
118,Tyler Warren,TE,IND,115.7,11,11,,Rookie
119,Dalton Kincaid,TE,BUF,127.7,12,7,258.0,
120,Jake Ferguson,TE,DAL,125.7,13,10,228.0,
121,Dallas Goedert,TE,PHI,133.0,14,9,123.0,
122,Bhayshul Tuten,RB,JAC,150.0,40,8,,Rookie
123,Jordan Love,QB,GB,129.0,16,5,173.0,
124,J.K. Dobbins,RB,DEN,116.0,41,12,42.0,
125,Rachaad White,RB,TB,136.3,42,9,58.0,
126,Jayden Higgins,WR,HOU,146.7,54,6,,Rookie
127,Colston Loveland,TE,CHI,126.3,15,5,,Rookie
128,Rashod Bateman,WR,BAL,172.0,55,7,91.0,
129,Ray Davis,RB,BUF,150.7,43,7,146.0,
130,Tyler Allgeier,RB,ATL,164.3,44,5,212.0,
131,Isaac Guerendo,RB,SF,140.7,45,14,106.0,
132,Trey Benson,RB,ARI,154.3,46,8,248.0,
133,Kyle Pitts,TE,ATL,144.7,16,5,152.0,Trade Candidate
135,Cedric Tillman,WR,CLE,176.5,56,9,93.0,
137,Jaydon Blue,RB,DAL,137.3,47,10,,Rookie
138,Jonnu Smith,TE,PIT,113.0,17,5,64.0,
139,Trevor Lawrence,QB,JAC,163.0,17,8,206.0,
140,Matthew Stafford,QB,LAR,164.7,18,8,183.0,
141,C.J. Stroud,QB,HOU,130.3,19,6,269.0,
142,Tua Tagovailoa,QB,MIA,152.3,20,12,111.0,
143,J.J. McCarthy,QB,MIN,136.7,21,6,,
144,Luther Burden,WR,CHI,150.3,57,5,,Rookie
145,Quentin Johnston,WR,LAC,176.7,58,12,76.0,
146,Jaylen Wright,RB,MIA,165.3,48,12,303.0,
147,Jerome Ford,RB,CLE,148.3,49,9,112.0,
148,Nick Chubb,RB,HOU,140.0,50,6,,
149,Dylan Sampson,RB,CLE,167.0,51,9,,Rookie
150,Kyle Williams,WR,NE,166.3,59,14,,Rookie
151,Tyjae Spears,RB,TEN,129.7,52,10,101.0,
152,Drake Maye,QB,NE,128.3,22,14,262.0,
153,Christian Kirk,WR,HOU,165.3,60,6,151.0,
154,Roschon Johnson,RB,CHI,176.5,53,5,219.0,
155,Romeo Doubs,WR,GB,192.5,61,5,137.0,
156,Bryce Young,QB,CAR,162.0,23,14,117.0,
157,Tank Bigsby,RB,JAC,128.3,54,8,95.0,
158,Austin Ekeler,RB,WAS,143.3,55,12,115.0,
159,Miles Sanders,RB,DAL,205.5,56,10,,
160,Xavier Legette,WR,CAR,174.0,62,14,179.0,
161,Joshua Palmer,WR,BUF,194.0,63,7,244.0,
162,Geno Smith,QB,LV,162.0,24,8,168.0,
163,Cameron Ward,QB,TEN,153.7,25,10,,Rookie
164,Sam Darnold,QB,SEA,164.7,26,8,109.0,
165,Michael Penix,QB,ATL,159.3,27,5,,
166,Darius Slayton,WR,NYG,252.5,64,14,167.0,
167,Jack Bech,WR,LV,160.7,65,8,,Rookie
168,Isaiah Likely,TE,BAL,171.0,18,7,126.0,
169,Anthony Richardson,QB,IND,173.0,28,11,129.0,
170,Keenan Allen,WR,LAC,191.0,66,12,66.0,Free Agent
171,Michael Wilson,WR,ARI,247.0,67,8,209.0,
172,Dyami Brown,WR,JAC,248.5,68,8,195.0,
173,Marvin Mims Jr.,WR,DEN,156.7,69,12,107.0,
174,Demario Douglas,WR,NE,191.5,70,14,170.0,
175,Chig Okonkwo,TE,TEN,200.0,19,10,221.0,
176,Hunter Henry,TE,NE,163.0,20,14,158.0,
177,Brenton Strange,TE,JAC,183.3,21,8,242.0,
178,Zach Ertz,TE,WAS,171.3,22,12,110.0,
179,Theo Johnson,TE,NYG,268.5,23,14,251.0,
180,Braelon Allen,RB,NYJ,160.0,57,9,217.0,
181,Rico Dowdle,RB,CAR,151.3,58,14,65.0,
182,DJ Giddens,RB,IND,202.5,59,11,,Rookie
183,Justice Hill,RB,BAL,181.0,60,7,147.0,
184,Pat Bryant,WR,DEN,226.0,71,12,,Rookie
185,Jalen McMillan,WR,TB,165.7,72,9,79.0,
186,Alec Pierce,WR,IND,205.5,73,11,84.0,
187,Mason Taylor,TE,NYJ,175.0,24,9,,Rookie
188,Aaron Rodgers,QB,PIT,167.7,29,5,165.0,
189,Russell Wilson,QB,NYG,219.0,30,14,166.0,
190,Will Shipley,RB,PHI,225.0,61,9,193.0,
191,MarShawn Lloyd,RB,GB,203.0,62,5,,
192,Juwan Johnson,TE,NO,258.5,25,11,210.0,
193,Ja'Tavion Sanders,TE,CAR,243.0,26,14,274.0,
194,Mike Gesicki,TE,CIN,185.7,27,10,132.0,
195,Cade Otton,TE,TB,171.3,28,9,120.0,
196,Wan'Dale Robinson,WR,NYG,183.0,74,14,164.0,
197,Adam Thielen,WR,CAR,173.7,75,14,59.0,
198,Calvin Austin III,WR,PIT,256.0,76,5,163.0,
199,Dalton Schultz,TE,HOU,208.0,29,6,231.0,
200,Terrance Ferguson,TE,LAR,248.0,30,8,,Rookie
201,Noah Fant,TE,CIN,298.0,31,10,,
